Time,ElapsedTime,x,y,z
19:38:00.244,53.8512,0,1.1176,0
19:38:01.059,869.3265,0,0,0
19:38:01.112,921.5597,0.4102292,0.08647108,-1.285737
19:38:01.131,940.6498,0.4102292,0.08647504,-1.285763
19:38:01.142,952.2252,0.4101189,0.08652299,-1.285951
19:38:01.154,964.3234,0.4100989,0.08654989,-1.286007
19:38:01.166,975.6359,0.4106157,0.08648301,-1.285423
19:38:01.176,985.8728,0.4106413,0.08646986,-1.285224
19:38:01.187,996.9762,0.4108373,0.08653219,-1.284919
19:38:01.200,1009.6163,0.4107386,0.08654989,-1.285033
19:38:01.211,1021.4024,0.4108022,0.08651997,-1.284977
19:38:01.223,1033.1805,0.4107944,0.08653123,-1.284979
19:38:01.233,1042.8458,0.4107176,0.08651447,-1.28515
19:38:01.244,1054.0103,0.4107009,0.08652121,-1.285169
19:38:01.253,1063.079,0.4107802,0.08649039,-1.285183
19:38:01.264,1074.2386,0.410774,0.08649489,-1.28519
19:38:01.275,1084.8284,0.410738,0.08642961,-1.285175
19:38:01.286,1096.3317,0.4107434,0.08642668,-1.285171
19:38:01.297,1107.1752,0.4101517,0.08640777,-1.285569
19:38:01.308,1118.3229,0.4101304,0.08638858,-1.285569
19:38:01.319,1129.3336,0.4100517,0.08644122,-1.285485
19:38:01.331,1140.9383,0.4104589,0.0864432,-1.285087
19:38:01.341,1151.1757,0.4104471,0.08642851,-1.285094
19:38:01.353,1162.748,0.4107533,0.08639222,-1.28489
19:38:01.364,1173.5454,0.4107475,0.08639278,-1.284889
19:38:01.375,1185.3517,0.4108661,0.08641692,-1.284785
19:38:01.386,1195.8511,0.4104679,0.08639816,-1.285308
19:38:01.397,1207.3965,0.4106431,0.08643397,-1.28517
19:38:01.409,1218.4676,0.4107863,0.08640994,-1.285061
19:38:01.419,1229.0809,0.4107935,0.08640071,-1.285086
19:38:01.430,1240.0177,0.4108689,0.08642615,-1.284984
19:38:01.443,1252.5182,0.4108943,0.08642527,-1.28498
19:38:01.453,1262.7348,0.4106526,0.08641668,-1.285247
19:38:01.463,1273.2513,0.4106531,0.08641414,-1.285253
19:38:01.475,1285.2182,0.4106568,0.08642436,-1.285257
19:38:01.486,1295.7932,0.4106591,0.08641307,-1.285282
19:38:01.498,1307.9011,0.4106675,0.08640826,-1.285239
19:38:01.508,1318.121,0.4106635,0.08641049,-1.285226
19:38:01.520,1329.6532,0.4106671,0.08643477,-1.285251
19:38:01.531,1340.9324,0.4106771,0.08644788,-1.285224
19:38:01.541,1350.8265,0.4106817,0.08643416,-1.285225
19:38:01.553,1362.8958,0.4106996,0.08641729,-1.285116
19:38:01.563,1372.9586,0.4106894,0.086414,-1.285125
19:38:01.575,1384.8552,0.4107985,0.08642597,-1.284865
19:38:01.586,1396.109,0.4107842,0.08643205,-1.284864
19:38:01.597,1407.186,0.4106529,0.08643704,-1.285049
