Time,ElapsedTime,x,y,z
19:52:30.733,863.2017,0,0,0
19:52:30.843,973.1336,0,0,0
19:52:30.953,1082.6931,0,0,0
19:52:31.063,1193.3736,0,0,0
19:52:31.175,1304.7779,0,0,0
19:52:31.286,1416.1646,0,0,0
19:52:31.397,1527.1559,0,0,0
19:52:31.501,1631.5959,0,0,0
19:52:31.612,1742.5504,0,0,0
19:52:31.713,1842.6261,0,0,0
19:52:31.813,1943.1516,0,0,0
19:52:31.924,2053.6645,0,0,0
19:52:32.035,2164.6562,0,0,0
19:52:32.135,2265.3701,0,0,0
19:52:32.235,2365.4028,0,0,0
19:52:32.346,2476.0937,0,0,0
19:52:32.457,2587.1519,0,0,0
19:52:32.568,2698.225,0,0,0
19:52:32.668,2798.4499,0,0,0
19:52:32.779,2909.2223,0,0,0
19:52:32.879,3009.2479,0,0,0
19:52:32.990,3120.35,0,0,0
19:52:33.101,3230.7873,0,0,0
19:52:33.213,3342.6873,0,0,0
19:52:33.322,3452.6161,0,0,0
19:52:33.423,3552.6784,0,0,0
19:52:33.523,3653.4164,0,0,0
19:52:33.634,3764.2604,0,0,0
19:52:33.735,3864.7023,0,0,0
19:52:33.845,3975.4384,0,0,0
19:52:33.956,4085.9992,0,0,0
19:52:34.057,4187.1061,0,0,0
19:52:34.167,4296.9489,0,0,0
19:52:34.278,4408.5255,0,0,0
19:52:34.389,4519.387,0,0,0
19:52:34.501,4630.8243,0,0,0
19:52:34.612,4741.8191,0,0,0
19:52:34.722,4852.5899,0,0,0
19:52:34.833,4963.409,0,0,0
19:52:34.944,5074.5952,0,0,0
19:52:35.045,5175.3785,0,0,0
19:52:35.156,5285.7251,0,0,0
19:52:35.256,5385.8828,0,0,0
19:52:35.356,5486.2845,0,0,0
19:52:35.467,5596.6688,0,0,0
19:52:35.578,5708.3174,0,0,0
19:52:35.689,5819.32,0,0,0
19:52:35.799,5929.3069,0,0,0
19:52:35.900,6030.5089,0,0,0
19:52:36.011,6141.1987,0,0,0
19:52:36.111,6241.3437,0,0,0
19:52:36.221,6351.214,0,0,0
19:52:36.322,6451.8877,0,0,0
19:52:36.433,6562.9022,0,0,0
19:52:36.533,6663.2988,0,0,0
