Time,ElapsedTime,x,y,z
19:52:30.733,863.2017,0,0,0
19:52:30.843,973.1336,0.3793628,0.09375702,-1.221475
19:52:30.953,1082.6931,0.3791007,0.09381728,-1.221805
19:52:31.063,1193.3736,0.3797177,0.09381074,-1.221489
19:52:31.175,1304.7779,0.3794506,0.0938005,-1.221049
19:52:31.286,1416.1646,0.3789876,0.0933755,-1.22154
19:52:31.397,1527.1559,0.3795429,0.09382814,-1.220991
19:52:31.501,1631.5959,0.379593,0.09360056,-1.22102
19:52:31.612,1742.5504,0.3794702,0.09365126,-1.220406
19:52:31.713,1842.6261,0.3795011,0.09360828,-1.220596
19:52:31.813,1943.1516,0.3804077,0.09407753,-1.220344
19:52:31.924,2053.6645,0.3796676,0.09293883,-1.221262
19:52:32.035,2164.6562,0.3787549,0.09366003,-1.222176
19:52:32.135,2265.3701,0.3789469,0.09397279,-1.22213
19:52:32.235,2365.4028,0.3789628,0.09355035,-1.222163
19:52:32.346,2476.0937,0.3793508,0.09341566,-1.222044
19:52:32.457,2587.1519,0.3796021,0.09352884,-1.220883
19:52:32.568,2698.225,0.3792298,0.09346215,-1.221233
19:52:32.668,2798.4499,0.3791734,0.09356285,-1.221567
19:52:32.779,2909.2223,0.377332,0.09494067,-1.220363
19:52:32.879,3009.2479,0.3791159,0.09491505,-1.217847
19:52:32.990,3120.35,0.3760254,0.0934307,-1.221455
19:52:33.101,3230.7873,0.3757719,0.09317414,-1.221585
19:52:33.213,3342.6873,0.3756992,0.09277733,-1.223148
19:52:33.322,3452.6161,0.3743024,0.09278046,-1.225147
19:52:33.423,3552.6784,0.3744183,0.09344834,-1.224564
19:52:33.523,3653.4164,0.3752242,0.09351762,-1.224821
19:52:33.634,3764.2604,0.3746375,0.09329589,-1.224692
19:52:33.735,3864.7023,0.3749657,0.09320167,-1.224553
19:52:33.845,3975.4384,0.3748567,0.09352405,-1.224781
19:52:33.956,4085.9992,0.375752,0.09386509,-1.224272
19:52:34.057,4187.1061,0.3751554,0.09326772,-1.224646
19:52:34.167,4296.9489,0.3755665,0.09379151,-1.223134
19:52:34.278,4408.5255,0.3758116,0.09365822,-1.223138
19:52:34.389,4519.387,0.3756998,0.09343155,-1.223843
19:52:34.501,4630.8243,0.3757017,0.09289493,-1.224989
19:52:34.612,4741.8191,0.3758991,0.09331632,-1.223594
19:52:34.722,4852.5899,0.3760582,0.09336723,-1.223006
19:52:34.834,4964.4093,0.3762203,0.09364872,-1.222752
19:52:34.944,5074.5952,0.376194,0.09327168,-1.222844
19:52:35.045,5175.3785,0.375963,0.09284645,-1.223065
19:52:35.156,5285.7251,0.3762991,0.09316063,-1.222939
19:52:35.256,5385.8828,0.3769881,0.09391365,-1.222765
19:52:35.356,5486.2845,0.3775779,0.0940343,-1.22403
19:52:35.467,5597.1868,0.3822935,0.09495614,-1.232378
19:52:35.578,5708.3174,0.3972199,0.1157515,-1.246174
19:52:35.689,5819.32,0.4054469,0.167899,-1.243159
19:52:35.799,5929.3069,0.4001752,0.2486856,-1.215012
19:52:35.900,6030.5089,0.3841032,0.332981,-1.175535
